class,parameter,min,max,value,calibration
parDormancyInduction,limitingPhotoperiod,8,14,11,x
parDormancyInduction,notLimitingPhotoperiod,10,18,14,x
parDormancyInduction,photoThermalThreshold,5,150,30,x
parDormancyInduction,limitingTemperature,-5,10,2,x
parDormancyInduction,notLimitingTemperature,5,20,12,x
parEndodormancy,limitingLowerTemperature,-5,5,-5,x
parEndodormancy,notLimitingLowerTemperature,-2,10,0,x
parEndodormancy,notLimitingUpperTemperature,5,15,9,x
parEndodormancy,limitingUpperTemperature,12,20,15,x
parEndodormancy,chillingThreshold,10,150,50,x
parEcodormancy,notLimitingPhotoperiod,10,16,12,x
parEcodormancy,notLimitingTemperature,5,20,12,x
parEcodormancy,photoThermalThreshold,5,80,15,x
parGrowth,minimumTemperature,-5,10,2,x
parGrowth,optimumTemperature,15,30,22,x
parGrowth,maximumTemperature,30,40,35,x
parGrowth,thermalThreshold,5,100,25,x
parGreendown,thermalThreshold,20,200,70,x
parSenescence,limitingPhotoperiod,8,14,10,x
parSenescence,notLimitingPhotoperiod,10,18,14,x
parSenescence,photoThermalThreshold,5,150,30,x
parSenescence,limitingTemperature,-5,10,2,x
parSenescence,notLimitingTemperature,5,20,12,x
parVegetationIndex,nVIGrowth,0.01,0.3,0.1,x
parVegetationIndex,nVIEndodormancy,0.001,0.05,0.01,x
parVegetationIndex,nVISenescence,0.01,0.2,0.08,x
parVegetationIndex,nVIGreendown,0.0001,0.01,0.001,x
parVegetationIndex,nVIEcodormancy,0.001,0.05,0.01,x
parVegetationIndex,minimumVI,1,30,10,x
parVegetationIndex,maximumVI,50,100,90,x
parPhotosynthesis,maximumQuantumYieldOver,0.005,0.15,0.06,
parPhotosynthesis,maximumQuantumYieldUnder,0.002,0.08,0.035,
parPhotosynthesis,minimumTemperature,-10,5,2,
parPhotosynthesis,optimumTemperature,15,35,20,
parPhotosynthesis,maximumTemperature,30,45,38,
parPhotosynthesis,halfSaturationTree,50,800,400,
parPhotosynthesis,halfSaturationUnder,10,250,75,
parPhotosynthesis,vpdSensitivity,0.1,2,0.5,
parPhotosynthesis,vpdMin,0,20,5,
parPhotosynthesis,vpdMax,10,80,40,
parPhotosynthesis,waterStressDays,5,60,30,
parPhotosynthesis,waterStressThreshold,0,1,0.5,
parPhotosynthesis,waterStressSensitivity,0.1,5,1,
parPhotosynthesis,declineSteepness,0.5,5,2,
parPhotosynthesis,declineStartSteep,0.1,0.9,0.5,
parPhotosynthesis,circadianActivationPhoto,0,1,0,
parPhotosynthesis,circadianDayShiftHours,-6,6,0,
parRespiration,activationEnergyParameter,100,400,200,
parRespiration,referenceRespiration,0.1,5,1.5,
parRespiration,fractionGppToFastPool,0.1,0.9,0.4,
parRespiration,fastPoolTurnover,0.005,0.5,0.1,
parRespiration,slowPoolTurnover,0.000001,0.0001,0.00001,
parRespiration,carbonUseEfficiencyOver,0.2,0.8,0.5,
parRespiration,carbonUseEfficiencyUnder,0.2,0.8,0.5,
parRespiration,Tref,5,25,10,
parRespiration,respirationYoungBoost,1,3,1.5,
parRespiration,respirationYoungPow,1,4,2,
parRespiration,respirationSenescenceBoost,1,2,1.2,
parRespiration,respirationSenescencePow,1,4,2,
parRespiration,circadianActivationReco,0,1,0,
